Feature,Importance
popularity,0.2494491524281424
budget,0.22219310586401275
vote_average,0.21917491413261636
runtime,0.20407918927511534
Drama,0.01440028289476769
Animation,0.013621169883855191
Horror,0.013435436359690732
Action,0.013346891297255315
Adventure,0.011039720982350034
Romance,0.010993785047515267
Thriller,0.01086248200344831
Comedy,0.00944134568576214
Science Fiction,0.007962524145468473
